buyer_member_id,advertiser_id,campaign_id,imps,cost,revenue,clicks
49,13378,39552,12,0.0066,0.012,0
259,46,17579,1282932,2832.504992,0,570
259,46,17586,45,0.09,0,0
259,46,22687,412,18.813905,0,0
281,71,23650,13707,16.1156,87357.67823,0
281,1710,22637,9,0,0,0
281,1710,23002,29,0.42,0.42,0
292,222,28620,1,0.00005,0.00005,0
300,1735,23090,323,1.752631,3.23,0
302,376,17789,567971,614.131211,54,870
310,569,18355,10,0.0009,0.01,0
310,569,18357,5,0.0004,0.005,1
310,569,18367,18,0.0015,0.018,2
310,569,18403,11,0.0007,0.011,0
310,569,18413,10,0.0006,0.01,0
310,569,18481,8,0.0005,0.008,0
310,570,18520,17,0.0013,0.017,0
310,570,18533,7,0.0005,0.007,0
310,570,18538,7,0.0004,0.007,0
310,570,18598,11,0.0006,0.011,0
310,570,18605,14,0.0011,0.014,0
310,570,18632,9,0.0007,0.009,0
310,570,18636,20,0.0012,0.02,1
310,570,18662,10,0.0007,0.01,0
310,571,18685,25,0.0019,0.025,1
310,571,18696,10,0.0006,0.01,1
310,571,18711,9,0.0005,0.009,0
310,571,18716,15,0.0014,0.015,0
310,571,18844,19,0.0013,0.019,1
310,571,18881,10,0.0007,0.01,1
310,571,18883,12,0.0007,0.012,0
310,572,18888,13,0.001,0.013,0
310,572,18895,10,0.0008,0.01,0
310,572,18974,14,0.0009,0.014,0
310,572,18983,14,0.0013,0.014,0
310,572,19008,10,0.0007,0.01,0
310,572,19014,14,0.0011,0.014,0
310,572,19071,20,0.0014,0.02,0
310,573,19174,9,0.0008,0.009,0
310,573,19254,12,0.0007,0.012,1
310,573,19261,10,0.0009,0.01,0
310,574,19307,14,0.0008,0.014,0
310,574,19402,13,0,0,1
310,574,19453,15,0.001,0.015,0
310,574,19462,20,0.0011,0.02,0
310,575,19629,12,0.0009,0.012,0
310,575,19647,10,0.0009,0.01,0
310,575,19649,10,0.0006,0.01,0
310,575,19655,15,0.0009,0.015,0
310,575,19662,13,0.0009,0.013,0
310,575,19673,15,0.0013,0.015,0
310,576,19870,15,0.001,0.015,1
310,576,19879,16,0.0008,0.016,1
310,577,19892,13,0.0011,0.013,0
310,577,19902,15,0.001,0.015,1
310,577,19972,8,0.0008,0.008,0
310,577,19980,14,0.0009,0.014,0
310,577,19984,18,0.001,0.018,0
310,577,19990,16,0.0013,0.016,0
310,577,20014,13,0.0005,0.013,0
310,577,20018,13,0.0009,0.013,0
310,578,20135,15,0.0012,0.015,1
310,578,20167,16,0.0011,0.016,2
310,578,20238,15,0.001,0.015,0
324,696,21180,693,0.846399,0.693,0
324,1703,22581,19,0.028437,0.031281,0
324,1713,22875,2,0.028737,0,0
324,1713,34549,3,0.104592,0,0
324,1746,23446,88,0.2225,0.44,0
324,1746,23450,117,0.295,0.585,0
324,1746,23463,68,0.17,0.34,0
324,1854,23724,42,0.061942,0,0
324,1854,23726,8,0.004,0.006,0
324,3202,28475,17221,0,0,0
324,3462,30654,461,0.516852,0.5734,0
324,3557,30540,46,0.06885,0.046,0
326,493,21389,7,0.00035,0,0
331,3480,30598,482,0.482,0,0
331,3480,31216,1002,161.74259,29,12
346,648,20895,4,0.0014,0.002,0
360,3034,28080,4498,0,0,0
360,3042,28000,6000,0,0,0
360,3085,27823,66,0,0,0
360,3108,27762,2,0,0,0
367,781,21835,4,0.043011,0.047312,0
367,2397,25450,5,0.143011,0.157312,0
373,3558,30522,2,0.005314,0.004,0
405,2475,25414,9,0,0,0
405,3651,30821,6,0.00015,0.006,0
619,3174,28022,1,0.0005,0.001,0
635,3389,30112,254,0.01255,0.254,0
648,3355,30138,12,0,0,0
648,10446,36988,12,0.012,0,0
650,6765,32188,4,0.001172,0.008,1
650,6765,32189,5,0.004377,0.01,2
650,9855,36410,23,0,0.02323,1
716,8957,34959,50216,25.241,0,66
724,11227,37924,17911,25.475349,0,0
739,7250,32635,2,0.0005,0.002,0
739,7496,32863,2,0.000648,0.002,0
739,7771,33112,1,0.001681,0.001,0
739,7968,33447,1001,0.5005,1.001,0
739,8026,33535,1,0.0005,0.001,0
739,9541,35713,1,0.0005,0.001,0
739,9579,35760,1,0.0005,0.001,0
739,9629,35811,1,0.000378,0.001,0
739,9663,35848,1,0.002438,0.001,0
739,9683,35869,1,0.0005,0.001,0
739,9762,35951,1,0.0005,0.001,0
739,10413,36955,67,0.0335,0.067,0
739,10414,36956,133,0.0665,0.133,0
739,10461,37003,133,0.0665,0.133,0
739,10465,37007,9340,4.67,9.34,0
739,10547,37090,133,0.0665,0.133,0
739,10892,37595,198,0.106528,0.198,0
739,10908,37611,152,0.076,0.152,0
739,10922,37625,200,0.1,0.2,0
739,10930,37633,200,0.1,0.2,0
739,10989,37699,200,0.1,0.2,0
739,11540,38348,10,0.005,0.01,0
739,11546,38354,10,0.005,0.01,0
739,11548,38356,10,0.005,0.01,0
739,11553,38361,10,0.005,0.01,0
739,11559,38367,60,0.03,0.06,0
739,11691,38455,10,0.005,0.01,0
739,11821,38597,10,0.02,0.01,0
739,12421,38676,3,0.0015,0.003,0
739,12752,39037,2,0.001634,0.002,0
739,12849,39124,2,0.0005,0.002,0
739,13103,39381,1,0.00341,0.001,0
739,13113,39391,4,0.01364,0.004,0
739,15677,39857,10,0.01,0.01,0
739,15680,39860,10,0.01,0.01,0
739,15685,39865,10,0.01,0.01,0
739,15704,39885,10,0.01,0.01,0
739,15717,39899,10,0.01,0.01,0
739,15794,39978,10,0.01,0.01,0
739,15806,39990,1,0.001,0.001,0
740,7362,32745,2,0.002107,0.002,0
740,7422,32810,2,0.000889,0.002,0
740,7444,32826,1,0.0005,0.001,0
740,7702,33031,1,0.0005,0.001,0
740,9080,35223,2,0.0005,0.002,0
740,9144,35277,1,0.0005,0.001,0
740,9234,35374,1,0.002565,0.001,0
740,9686,35872,1,0.002549,0.001,0
740,9792,35980,1,0.001075,0.001,0
740,12866,39141,2,0.002794,0.002,0
740,13114,39392,4,0.01364,0.004,0
740,13120,39398,4,0.01364,0.004,0
742,11411,38234,6,0,0,0
761,6680,31844,1,0.0005,0.001,0
768,11761,38564,18,0.009717,0.018,0
780,7808,33221,3,0.06,0,0
796,8264,33975,4958,4.196099,4.958,0
830,15815,44509,4902,0,7,7
49,22,0,0,0,0,42
277,68,0,0,0,0,690
281,1710,23116,25,0,0,0
283,367,17780,276585,183.986768,0,0
289,2399,24779,1,0.094737,0.2,0
310,569,18291,11,0.0008,0.011,0
310,569,18307,15,0.0012,0.015,0
310,569,18379,13,0.0011,0.013,0
310,569,18393,16,0.001,0.016,0
310,569,18422,18,0.001,0.018,2
310,569,18428,15,0.001,0.015,1
310,569,18447,16,0.0009,0.016,1
310,570,18504,19,0.0017,0.019,1
310,570,18524,9,0.0008,0.009,0
310,570,18543,7,0.0004,0.007,0
310,570,18582,16,0.0012,0.016,0
310,570,18592,15,0.0011,0.015,0
310,570,18614,11,0.0007,0.011,1
310,570,18631,18,0.0012,0.018,0
310,570,18646,15,0.0007,0.015,0
310,570,18654,13,0.0008,0.013,0
310,571,18720,14,0.0009,0.014,0
310,571,18766,17,0.001,0.017,2
310,571,18767,16,0.0012,0.016,0
310,571,18783,14,0.0012,0.014,0
310,571,18799,10,0.0006,0.01,0
310,571,18809,14,0.001,0.014,0
310,572,18985,14,0.001,0.014,0
310,572,19003,9,0.0003,0.009,1
310,572,19031,16,0.0009,0.016,0
310,572,19042,16,0.0011,0.016,0
310,572,19061,13,0.0009,0.013,1
310,572,19063,11,0.0006,0.011,0
310,573,19101,9,0.0006,0.009,0
310,573,19108,16,0.0008,0.016,0
310,573,19130,17,0.0012,0.017,2
310,573,19164,15,0.0013,0.015,1
310,573,19268,12,0.0006,0.012,0
310,574,19297,13,0,0,0
310,574,19298,9,0,0,0
310,574,19365,17,0.0011,0.017,0
310,574,19386,10,0,0,0
310,574,19419,15,0.0011,0.015,1
310,574,19431,6,0.0005,0.006,2
310,575,19646,10,0.0008,0.01,1
310,575,19669,7,0.0005,0.007,0
310,576,19868,6,0.0006,0.006,0
310,577,19938,17,0.0011,0.017,1
310,577,19963,9,0.0006,0.009,0
310,578,20101,7,0.0004,0.007,0
310,578,20154,9,0.0006,0.009,0
310,578,20197,15,0.0009,0.015,2
310,578,20221,8,0.0006,0.008,0
310,578,20268,15,0.0011,0.015,0
324,1713,26210,1,0.005,0.001,0
324,1854,23718,19872,4.703939,1,1
324,1854,24735,189,0.236882,0,0
324,2364,24781,1,0,0,0
324,2821,26921,125,0,0.125,5
324,3202,38755,142,0,0.142,0
324,3245,28931,51079,71.090179,102.158,0
324,3557,30541,554,0.296886,0.554,0
325,488,24399,4052,60.78,0,0
346,649,20949,3,0.009,0.015,0
360,2889,27413,3,0,0,0
360,3108,28001,6000,0,0,0
360,3108,28310,2458,0,0,0
360,3108,28384,989,0,0,0
367,1708,23190,44,0.473118,0.52043,0
367,2791,26829,4,0.043011,0.047312,0
405,3651,30887,10,0.0003,0.01,0
636,3237,28650,9187,14.448069,9.187,0
648,3252,34597,64,0.064,0.32056,0
650,6765,32184,11,0.006371,2,2
698,6657,31843,17,0,0,3
719,5148,32149,50,0,0,0
739,7096,32540,1,0.0005,0.001,0
739,7280,32667,1,0,0.001,0
739,7387,32772,4,0.001619,0.004,0
739,7697,33026,1,0,0.001,0
739,7722,33051,1,0.0005,0.001,0
739,7900,33336,4,0.004,0.004,0
739,7921,33367,6,0.003,0.006,0
739,7990,33468,5,0.0025,0.005,0
739,8118,33722,1,0.0005,0.001,0
739,9243,35383,1,0.001101,0.001,0
739,10467,37009,157,0.0785,0.157,0
739,10927,37630,200,0.1,0.2,0
739,11508,38310,100,0.05,0.1,0
739,11551,38359,60,0.03,0.06,0
739,11592,38399,10,0.010053,0.01,0
739,11617,38416,10,0.00851,0.01,0
739,11619,38418,10,0.003884,0.01,0
739,11714,38509,6030,3.015,6.03,0
739,11869,38621,10,0.02,0.01,0
739,11884,38635,10,0.005,0.01,0
739,12442,38697,73,0.36581,0.073,0
739,12479,38740,151,0.0755,0.151,0
739,12507,38778,1,0.0005,0.001,0
739,12612,38888,1,0.0005,0.001,0
739,12702,38990,1,0.0005,0.001,0
739,12789,39074,1,0.0005,0.001,0
739,12791,39076,1,0.0005,0.001,0
739,12859,39134,1,0.0005,0.001,0
739,12909,39184,2,0.002319,0.002,0
739,12984,39262,2,0.003155,0.002,0
739,13042,39320,2,0.001498,0.002,0
739,13097,39375,1,0.00341,0.001,0
739,13105,39383,1,0.00341,0.001,0
739,13173,39500,1000,0.5,1,0
739,13260,39516,63,0.0315,0.063,0
739,15642,39829,1,0.00341,0.04341,0
739,15670,39850,10,0.01,0.01,0
740,7717,33045,1,0.0005,0.001,0
740,9054,35197,8,0.004467,0.008,0
740,9094,35241,8,0.003866,0.008,0
740,9532,35702,1,0.000274,0.001,0
740,9580,35761,1,0.002553,0.001,0
740,9586,35768,1,0.0005,0.001,0
740,9644,35828,1,0.0005,0.001,0
740,9652,35836,1,0.0005,0.001,0
740,12597,38872,1,0.0005,0.001,0
740,12623,38900,2,0.003209,0.002,0
740,12627,38904,4,0.00313,0.004,0
740,12673,38962,1,0.0005,0.001,0
740,12780,39065,1,0,0.001,0
740,12820,39100,1,0.0005,0.001,0
740,12858,39133,1,0.0005,0.001,0
740,12945,39218,1,0.0005,0.001,0
740,13001,39279,2,0.0005,0.002,0
740,13009,39287,2,0.0005,0.002,0
740,13087,39365,2,0.0005,0.002,0
742,10855,37915,23,0,0,7
742,10855,37920,3,0,0,0
742,11411,38120,1,0,0,0
742,11411,38201,2,0,0,0
742,11411,38208,14,0,0,0
742,11411,38237,4,0,0,4
742,11705,38497,2,0,0,1
768,11744,38553,10,0.00599,0.01,0
799,8280,34057,205,0,0,0
829,9866,36312,5,0.01,0,2
830,11228,37898,64867,69.81125,20.637,181
838,11474,38490,649,0.064,0.203,7
49,61,17778,128931,52.269751,0,0
49,815,22112,22,0.0155,0.066,0
49,10800,37271,13,0.0065,0.013,0
255,42,13,78996,35.278868,0.044,2
300,484,18131,368778,1500.264501,1080.718,0
310,569,18285,11,0.0007,0.011,1
310,569,18474,14,0.0011,0.014,0
310,569,18476,9,0.0004,0.009,0
310,570,18554,8,0.0004,0.008,0
310,570,18574,14,0.0008,0.014,1
310,570,18575,25,0.0018,0.025,1
310,570,18599,13,0.0009,0.013,1
310,570,18606,12,0.0008,0.012,0
